Name,1870,1880,1890,1900,1910,1920,1930,1940,1950
 Alabama,996992,1262505,1513017,1828697,2138093,2348174,2646248,2832961,3061743
 Alaska, , ,33426,32052,64356,55036,59278,72524,128643
 American Samoa, , , , , , , ,12908,24889
 Arizona,9658,40440,88243,122931,204354,334162,435573,499261,749587
 Arkansas,484471,802525,1128211,1311564,1574449,1752204,1854482,1949387,1909511
 California,560247,864694,1213398,1485053,2377549,3426861,5677251,6907387,10586223
 Colorado,39864,194327,413249,539700,799024,939629,1035791,1123296,1325089
 Connecticut,537454,622700,746258,908420,1114756,1380631,1606903,1709242,2007280
 Delaware,125015,146608,168493,184735,202322,223003,238380,266505,318085
 District of Columbia,131700,177624,230392,278718,331069,437571,486869,663091,802178
 Florida,187748,269493,391422,528542,752619,968470,1468211,1897414,2771305
Georgia (U.S. state) Georgia,1184109,1542180,1837353,2216331,2609121,2895832,2908506,3123723,3444578
 Guam, , , , ,11806,13275,18509,22290,59498
 Hawaii, , , ,154001,191909,255912,368336,423330,499794
 Idaho,14999,32610,88548,161772,325594,431866,445032,524873,588637
 Illinois,2539891,3077871,3826351,4821550,5638591,6485280,7630654,7897241,8712176
 Indiana,1680637,1978301,2192404,2516462,2700876,2930390,3238503,3427796,3934224
 Iowa,1194020,1624615,1912297,2231853,2224771,2404021,2470939,2538268,2621073
 Kansas,364399,996096,1428108,1470495,1690949,1769257,1880999,1801028,1905299
 Kentucky,1321011,1648690,1858635,2147174,2289905,2416630,2614589,2845627,2944806
 Louisiana,726915,939946,1118587,1381625,1656388,1798509,2101593,2363880,2683516
 Maine,626915,648936,661086,694466,742371,768014,797423,847226,913774
 Maryland,780894,934943,1042390,1188044,1295346,1449661,1631526,1821244,2343001
 Massachusetts,1457351,1783085,2238943,2805346,3366416,3852356,4249614,4316721,4690514
 Michigan,1184059,1636937,2093889,2420982,2810173,3668412,4842325,5256106,6371766
 Minnesota,439706,780773,1310283,1751394,2075708,2387125,2563953,2792300,2982483
 Mississippi,827922,1131597,1289600,1551270,1797114,1790618,2009821,2183796,2178914
 Missouri,1721295,2168380,2679184,3106665,3293335,3404055,3629367,3784664,3954653
 Montana,20595,39159,142924,243329,376053,548889,537606,559456,591024
 Nebraska,122993,452402,1062656,1066300,1192214,1296372,1377963,1315834,1325510
 Nevada,42491,62266,47355,42335,81875,77407,91058,110247,160083
 New Hampshire,318300,346991,376530,411588,430572,443083,465293,491524,533242
 New Jersey,906096,1131116,1444933,1883669,2537167,3155900,4041334,4160165,4835329
 New Mexico,91874,119565,160282,195310,327301,360350,423317,531818,681187
 New York,4382759,5082871,6003174,7268894,9113614,10385227,12588066,13479142,14830192
 North Carolina,1071361,1399750,1617947,1893810,2206287,2559123,3170276,3571623,4061929
 North Dakota,2405,36909,190983,319146,577056,646872,680845,641935,619636
 Ohio,2665260,3198062,3672316,4157545,4767121,5759394,6646697,6907612,7946627
 Oklahoma[m], , ,"258,657[n]","790,391[o]",1657155,2028283,2396040,2336434,2233351
 Oregon,90923,174768,317704,413536,672765,783389,953786,1089684,1521341
 Panama Canal Zone [p], , , , , ,22858,39467,51827,52822
 Pennsylvania,3521951,4282891,5258014,6302115,7665111,8720017,9631350,9900180,10498012
 Puerto Rico, , , , ,1118012,1299809,1543913,1869255,2210703
 Rhode Island,217353,276531,345506,428556,542610,604397,687497,713346,791896
 South Carolina,705606,995577,1151149,1340316,1515400,1683724,1738765,1899804,2117027
 South Dakota,11776,98268,348600,401570,583888,636547,692849,642961,652740
 Tennessee,1258520,1542359,1767518,2020616,2184789,2337885,2616556,2915841,3291718
 Texas,818579,1591749,2235523,3048710,3896542,4663228,5824715,6414824,7711194
 U.S. Virgin Islands, , , , , , ,22012,39467,51827
 Utah,86336,143963,210779,276749,373351,449396,507847,550310,688862
 Vermont,330551,332286,332422,343641,355956,352428,359611,359231,377747
 Virginia,1225163,1512565,1655980,1854184,2061612,2309187,2421851,2677773,3318680
 Washington,23955,75116,357232,518103,1141990,1356621,1563396,1736191,2378963
 West Virginia,442014,618457,762794,958800,1221119,1463701,1729205,1901974,2005552
 Wisconsin,1054670,1315497,1693330,2069042,2333860,2632067,2939006,3137587,3434575
 Wyoming,9118,20789,60705,92531,145965,194402,225565,250742,290529
